ID	schoolname	qsstars	overall	academic	employer	faculty	international	internationalstudents	citations	arts	engineering	life	natural	social
242	University of Liege	4	45.9	37.2	42.8	59.8	46	66.2	44.9	51.5	67.4	65.2	64.2	53.4
243	Universität zu Köln		45.7	55	67.3	16.3	30.9	33.5	51.6	61.1	0	68.6	66.8	66.1
244	Dalhousie University		45.6	38.3	19.6	31.6	89.1	55.2	73	50.2	0	62.9	59.2	55.6
245	Loughborough University		45.6	41.5	76.6	38	84.7	77.3	27.4	51.8	66.6	0	59.2	63.9
246	Simon Fraser University		45.6	41.8	43.7	11.4	94.4	85	65.3	56	60.1	53.3	64.5	64.1
247	National Cheng Kung University		45.5	48.7	40.4	47.9	20.8	32.4	47.9	46.8	69.4	60.6	65.2	61.1
248	Universität Stuttgart		45.4	41.1	59.9	75.7	34	64.8	13.6	43.6	72.1	0	70.1	0
249	Hanyang University		45.3	32.4	50.2	96	27.3	69	15.6	0	62.1	52.9	58.4	0
250	American University of Beirut (AUB)		45.1	26.3	79.2	66.9	95.9	84.9	20.3	0	59.6	0	0	56.8
251	Norwegian University of Science And Technology		45	44.9	44.7	44.9	73.1	30.9	40.9	44.7	66.8	56.1	63.8	54.2
252	Beijing Normal University 		44.8	56.4	39.4	44.5	72.1	28.6	21	66	0	0	61.9	64.7
253	King Saud University		44.7	43.3	35.2	86.1	96.4	17.8	3.8	0	63.7	55.5	58.6	58.4
254	University of Oulu		44.7	32.5	21	83.2	65	14.5	44.3	0	62.4	62.9	0	56.2
255	Kyung Hee University		44.5	36.8	72	83.6	21.1	47.6	11.5	0	57.5	58.5	57.7	58
256	Rutgers. The State University of New Jersey. New Brunswick		44.5	52.8	25.2	38.3	37.2	21	50.7	57.4	60.5	64.3	72.8	57.1
257	University of Strathclyde	5	44.4	40.5	66.7	37.9	83.3	69	30.8	42.8	66.9	0	61.9	64.9
258	Universität Ulm		44	18	18.2	92.6	29.1	38.2	64.9	0	56.9	58	61.1	0
259	University of Pisa	4	43.9	59.9	41.9	7.8	13.1	10.4	64.2	59.5	62.9	62.9	71.9	53.1
260	Technische Universität Darmstadt		43.8	36.9	81.6	34.9	64.2	63.1	37.1	41	74.1	0	69.1	0
261	University of Massachusetts. Amherst		43.5	49.7	40.1	26.6	27	15.9	60.1	60.1	66	59.3	69.5	59
262	Technische Universität Dresden		43.4	46.5	59.8	32.4	28.6	32	45.6	41.3	72.8	65.6	70.3	0
263	Macquarie University		43.3	42.3	72.4	15.7	99.8	94.4	30.5	61.4	0	55.6	63.3	64.7
264	Vienna University of Technology		43.2	45.2	67.7	20	60.5	89.8	33.2	38.3	68.9	0	68.2	0
265	Royal Holloway University of London		43.1	34.2	38.7	34.4	95.4	98.4	43.9	66	0	0	0	55
266	Victoria University of Wellington		43.1	48.6	66.3	19.4	100	71.9	22.2	59.8	58.3	0	59.9	65.8
267	University of Padua		42.9	62.9	43.6	22.4	3.7	10.7	40.3	64	64.3	68.2	70.4	59.7
268	University of California. Riverside		42.8	37.9	14.5	22.6	77.9	39	78.5	52.2	60.5	63.7	69.9	0
269	Universiti Kebangsaan Malaysia (UKM)		42.7	48	36.5	58.5	93	44.6	5.7	0	59.2	0	0	57
270	Yeshiva University		42.7	5.8	10.5	97.6	1.8	23.7	92.1	0	0	64.6	0	0
271	University of Utah		42.5	25.2	23.9	55.3	28.6	28	80.1	41.8	61.6	66.1	68.3	53.8
272	University of Technology. Sydney	5	42.4	41.3	81.6	25.6	95.5	92	15.2	54.1	65.4	0	0	64.4
273	Universität Konstanz		42.3	47.7	36.5	46	56.8	36.1	27.9	60	0	53.9	0	58.9
274	Universidad de Los Andes Colombia		42.2	59.9	73	32	39.3	3.6	11	0	0	0	0	62.2
275	Université Paris Descartes		42.2	37.9	28.4	21.5	19.2	51.3	81.1	0	0	75.9	0	0
276	Tokyo Medical and Dental University 		42.1	12.9	17.4	100	7	19.3	68.6	0	0	70.1	0	0
277	University of Wollongong	5	42.1	28.4	81.7	36.3	99.8	76	31.9	52.4	69	0	64.4	61.3
278	Universität Erlangen-Nürnberg		42	38.8	26.9	57.5	41.2	23.7	44.6	48.7	66.8	66.9	71.7	0
279	Queensland University of Technology	5	41.9	44.8	75.4	21.2	95	54.7	22.8	48.7	70	56.9	61.2	65.6
280	Tecnológico de Monterrey (ITESM)	5	41.9	42.6	84.6	56.2	55.2	30.4	3.6	0	61	0	0	61.9
281	Universität Mannheim		41.8	31.8	85.3	18	21.8	14.2	74.8	0	0	0	0	72.6
282	Universitat Pompeu Fabra		41.8	41.4	40.4	40.8	78.8	42.5	34.1	55.7	0	53.4	0	67.5
283	Mahidol University		41.6	47.8	29.2	79.1	14.3	7.5	12.7	0	0	66	0	55
284	Curtin University		41.5	39.3	68.2	28.5	100	99.4	15.9	48.9	65.4	0	64.3	61.6
285	National University of Ireland. Galway	5	41.5	36.1	44.3	50	92.5	56.7	25.1	49	62.8	57.8	59.6	57.8
286	Universidade Federal do Rio de Janeiro		41.5	63.1	32.3	43.3	14.4	5.7	15.9	52.7	62.9	60.4	64.4	60.9
287	University of Surrey		41.5	34.4	44.3	35.5	93.4	98.6	32.3	42.2	62.9	0	0	57.9
288	Hong Kong Baptist University		41.4	27.2	25.9	75.5	87.5	74.8	22.8	0	0	0	0	58.2
289	Umeå University		41.3	32.9	29.4	65.2	45.8	4.3	47.5	51.3	0	67.5	0	55.6
290	Universität Innsbruck		41.3	47.4	38	20.5	93.7	98.5	23.3	0	0	0	62.7	0
291	RMIT University	5	41.2	40.1	84.6	23.6	100	99.9	9	49.9	69	0	0	61.8
292	University of Eastern Finland		41.2	23.9	19.4	80.8	37.9	12.2	54.5	0	0	65.2	0	0
293	Arizona State University		40.9	55.2	36.9	13.1	11.3	21.8	53.6	60	66.1	63.4	68.6	64.7
294	Christian-Albrechts-Universität zu Kiel		40.9	31.2	30.8	16.8	55.5	21.1	89.9	49.9	0	66.2	60.7	0
295	Indian Institute of Technology Kanpur (IITK)		40.7	43.9	64.7	25.6	1.5	1.2	56.3	0	71.6	0	65.4	0
296	National Yang Ming University		40.7	17.3	17.1	99.1	11.3	11.3	54.9	0	0	64.7	0	0
297	Johannes Gutenberg Universität Mainz		40.5	38.8	32.8	15.3	37.8	40.7	72.9	54.5	0	62	72.5	0
298	The University of Newcastle	5	40.4	42.5	54.7	23	94.6	45.2	31.1	51.5	67	59.3	58.7	56.7
299	Al-Farabi Kazakh National University	3	40.2	39.3	35.6	91.3	26.8	18.6	1.1	0	0	0	0	0
300	École des Ponts ParisTech		40.2	18	56	99.9	30.1	91.7	5.8	0	0	0	0	0
301	University of Jyväskylä		40.2	33.1	27.9	92.9	31.7	12	16.5	52.5	0	0	60	59.1
302	University at Buffalo SUNY		40.1	30.3	9.1	18.9	38	68.1	89.4	48	0	60	0	0
303	L.N. Gumilyov Eurasian National University 		40	38.3	32	99.7	15.7	6.9	1.1	0	0	0	0	0
304	Kobe University		39.7	39.3	40.7	63.9	8.7	14.8	29.2	43.7	0	60.1	60.7	55.4
305	North Carolina State University		39.7	37.5	48.3	27.8	10.5	25.1	62	40.7	67.7	64.9	69.8	55
306	University of Tromso		39.6	22.4	4.5	95.5	41.6	28	37.1	46.8	0	56	0	0
307	Hiroshima University		39.5	34.2	18	86.2	8.8	14.7	27.2	0	0	0	58.9	0
308	University of California. Santa Cruz		39.5	39.6	0	21.7	36.5	3.8	85.9	43.2	0	0	58.3	0
309	Université Bordeaux 1. Sciences Technologies		39.4	32.1	26.8	57.6	49.8	50.8	35.7	0	62.8	0	69.5	0
310	University of Indonesia		39.4	48.8	67.4	56.3	24.8	4.4	1.5	0	0	0	0	0
311	Universität  Leipzig		39.3	42.3	21.4	16.4	14.3	30.4	72.8	53.5	0	63.3	63.5	0
312	University of Southern Denmark		39.3	29.6	35.4	53.6	48.8	56.2	39.2	51	57	0	0	58.1
313	Indian Institute of Technology Madras (IITM)		39.2	40.3	74.6	29.8	2.1	1.3	46.6	0	74	0	66.6	0
314	University of The Witwatersrand		39.2	44.3	43.7	23.3	84.2	26.5	34	60.1	0	60.3	57.9	61.4
315	University of Navarra		39	26.6	50	70.7	33.5	49	24.9	49.4	0	59.9	0	57.3
316	Virginia Polytechnic Institute (Virginia Tech)		38.9	38.6	52.7	38.1	30	24.7	38.5	0	71.9	60.3	66	55.4
317	Universidad Austral - Argentina		38.8	31.8	49.5	93.3	8.9	22.1	3.7	0	0	0	0	0
318	Universidad Carlos III de Madrid		38.8	43.5	61.9	54.3	30	28.4	6.3	50.6	64.1	0	0	70
319	University of Mississippi		38.8	8.8	4.1	98.5	10	51.7	59.7	0	0	0	0	0
320	Università¡ degli Studi di Roma - Tor Vergata		38.7	51.1	33.2	10.8	3.9	15.7	58.2	53.5	59.4	62.5	66.5	55.6
321	Iowa State University		38.6	34.3	24	34.3	38.2	34.9	59.1	39.8	60	60.3	69.2	0
322	Pontificia Universidad Católica Argentina Santa María de los Buenos Aires - UCA		38.6	41.1	71.8	65.6	0	28.6	1.2	0	0	0	0	0
323	University of Victoria		38.6	32.4	23.7	16.4	89.8	33	68.7	50.8	0	0	63.9	56
324	Brandeis University		38.5	24.2	15.9	39.3	18.4	72.2	73.6	0	0	0	0	0
325	Julius-Maximilians-Universität Würzburg		38.4	33.3	11.4	42.4	32.9	16	64.3	0	0	67.9	65.7	0
326	Universidad Nacional de Colombia		38.4	64.2	73.1	17.9	11.5	2	5	0	61.4	0	0	58.9
327	George Washington University		38.3	39.9	40.8	40.8	3.1	43.5	38.2	55.8	58.8	65.7	0	64.9
328	University of Hawaii at Mañoa 		38.3	26	6.9	60.4	31.7	23.4	61.4	45.4	0	56.6	61.7	0
329	Laval University		38.2	35.7	33.6	29.3	37.7	36.7	54.3	50.3	61.9	66	62.9	56.4
330	Wake Forest University		38.2	10.1	0	99.7	7	13.5	65.4	0	0	54.7	0	0
331	Ben Gurion University of The Negev		38.1	32	25.4	56.8	79.6	14.3	33	44.3	56.9	54.5	59.1	0
332	Boston College		38.1	32.1	54.8	36.7	81.4	52.8	28.1	56.9	0	0	0	63
333	Linköping University		38.1	32.8	55.6	52.3	39	17.9	29.9	46.6	66.5	60.6	62.4	54.8
334	Aalborg University	5	38	34.1	59.2	40	70.8	52.7	20.5	46	72.7	0	0	63.1
335	Bauman Moscow State Technical University		38	27.8	58.5	100	1	12.5	1.1	0	0	0	0	0
336	Ecole Normale Supérieure de Cachan		38	31.3	0	85	26.6	35.8	26.2	0	60.4	0	0	0
337	SOAS - School of Oriental and African Studies. University of London 		37.9	34.9	37.4	46.7	99.9	100	3.4	67.6	0	0	0	61.5
338	Stony Brook University		37.8	25.3	10.4	47.6	31.7	54.9	63.1	0	0	59.1	58.4	0
339	University of Essex		37.8	37.2	30.4	26.2	98	98.6	23.5	54.8	0	0	0	66.7
340	University of Warsaw 		37.8	53.4	57.6	38.5	9.5	7.8	9.7	0	60.4	0	69.4	60.9
341	Griffith University	5	37.7	34.8	54.1	27.5	92.6	87	18.9	52.7	0	54.4	0	64.9
342	University of South Australia	5	37.7	33	52.6	37.1	100	70.4	16	0	64.1	0	0	59.7
343	Massey University	4	37.3	36.5	49.2	33.3	93	41	21.6	44.4	58.1	56.7	60.5	58.5
344	University of Porto		37.3	50.1	41.1	25.8	10.5	10.9	33.8	52.9	67.9	61.7	66.4	62.9
345	Universitat Politècnica de Catalunya 		37.2	38.1	32	65.6	14.2	37.6	14.4	44.9	72.9	0	61.9	0
346	Indian Institute of Technology Kharagpur (IITKGP)		37.1	36	59	26	0	1	57	0	70.8	0	66.1	52.8
347	City University London		37	33.3	64	23.7	87.8	99.7	15.1	0	57.3	0	0	62.2
348	American University in Cairo		36.9	33.3	69.5	54.5	97.4	0	3.5	0	0	0	0	55.4
349	Dublin City University		36.8	25.4	54.5	44.7	86.9	61	23.7	46	61.3	0	58.8	0
350	Pontificia Universidad Javeriana		36.8	49.7	67.3	45	8.2	4.1	2.1	0	0	0	0	55.2
351	James Cook University		36.5	22	32.5	36.3	93.6	48	49.7	0	0	59	58.1	0
352	Novosibirsk State University		36.2	32.7	24.8	87.3	4.9	35.3	5.2	0	0	0	0	0
353	Rensselaer Polytechnic Institute		36.1	17.3	21.5	41.4	8.4	40.1	81.2	0	68.5	0	61.6	0
354	Universidade Nova de Lisboa		36.1	35.2	51.7	44.6	46.8	34	19	53.3	61.8	53.5	61.1	62.4
355	Université Aix-Marseille		36	48.1	28.2	27.9	7.7	47.5	27.3	45.3	0	68.6	65.8	56.9
356	Universiti Sains Malaysia (USM)		36	48.1	42.6	33.8	20.3	39.3	13.2	0	67.1	54.3	63.9	65.4
357	Universiti Teknologi Malaysia (UTM)		36	32.2	40.6	62.2	37.1	79.6	3.2	0	62.4	0	0	54.8
358	Université Paris Dauphine		35.9	35	93.7	18.2	55.6	92.5	6.9	0	0	0	0	66.1
359	University of Coimbra	4	35.9	46.3	31.5	19.8	6.1	51.2	36.3	49	60.8	60	58.8	57.3
360	Brunel University		35.8	24.4	35.3	28.5	95.6	95.9	35.7	48.2	62.3	0	0	54.1
361	King Abdul Aziz University (KAU)		35.8	38.2	29.2	53.2	77.3	48.7	2.7	0	57.7	0	0	0
362	Ewha Womans University		35.6	30.9	43.7	59.5	23.2	45.7	16.9	0	0	54	58.9	54
363	Nankai University		35.5	37.3	41.2	46.5	3.3	24	28.4	0	62	0	70.8	56.3
364	Taipei Medical University		35.5	24.7	32.3	56.7	27.9	16	43.4	0	0	63.3	0	0
365	Universität Jena		35.5	32.5	18.2	40	21.4	18.3	52.7	38.4	0	60.7	64.1	0
366	Ruhr-Universität Bochum		35.4	35.8	35.2	33.1	42.3	44.4	32.6	50.3	61	60.6	66.4	0
367	University of Texas at  Dallas 		35.4	23	26.1	16.2	15.6	70.9	79.3	44.7	63.8	57.2	57.9	57.5
368	Washington State University		35.4	36.8	20.8	32.2	72.3	19.7	37.2	44.5	57.2	60.4	62.9	0
369	Heriot-Watt University		35.3	19	46	35.3	96.5	99.3	30.7	0	63.2	0	0	53.4
370	Politecnico di Torino		35.2	42.9	68.6	9.5	2.8	57.8	30.7	42.8	73.9	0	65.7	0
371	Universität Bremen		35.2	39.7	28.1	47.9	20.6	35.1	20.3	46.8	59.8	0	65.3	56.4
372	Xi'an Jiaotong University		35.1	27.6	54.3	72.9	9.7	9.5	14.6	0	69.1	0	60.3	58.3
373	Tilburg University		34.8	33.5	58.6	21.9	83.3	28.4	27.2	48.9	0	0	0	68.6
374	Birkbeck College. University of London		34.7	35.4	16.2	17	92.3	78.8	34.1	67.7	0	0	0	55.7
375	Oxford Brookes University		34.7	36.5	62.9	23.2	60.5	83.7	9.4	54.6	0	0	0	60.4
376	Jagiellonian University		34.6	42.5	49.5	48.3	5.7	9	10.4	0	0	54.7	63.9	57.9
377	University of Kansas		34.6	23.5	25.3	66	23.3	25.3	34.4	50.9	0	63.9	58	53.7
378	University of Tampere		34.6	28.8	32.6	62.2	25.2	8.7	27.7	51.6	0	57.7	0	64
379	University of Florence		34.5	49.3	22.5	24.2	10.6	17	31	60.5	0	63.8	63.8	0
380	Deakin University	5	34.4	34.5	52.1	14.4	91.4	69.5	21.7	51.4	58.8	55.7	0	63.4
381	University of Connecticut		34.4	22.3	22.7	27.3	79	18.5	63.5	38	0	60.8	0	0
382	University of the Philippines		34.4	47.4	65	39.9	2.3	2.5	3	0	0	0	0	61.5
383	Universitat Politècnica de València		34.2	34.7	49.5	56	7.5	16	14.3	43.4	70.7	0	64.3	0
384	Sun Yat-sen University		34.1	42.6	40.2	29	13.5	11.8	29.2	0	58.5	61.8	63.5	60.3
385	Université Montpellier 2. Sciences et Techniques du Languedoc		33.9	27.1	19	36.3	16.2	40.9	54.8	0	61.8	60.1	68.8	0
386	Moscow State Institute of International Relations (MGIMO-University)	3	33.8	15.8	46	98.7	8.3	48.7	1	0	0	0	0	0
387	Stellenbosch University		33.7	42.2	43	16.8	27.8	22.8	32.4	52.5	0	57.1	59.8	58.5
388	Tulane University		33.7	17	10.4	67.9	16.3	29	49.4	0	0	61.1	0	0
389	Politécnica de Madrid		33.6	32.7	58.4	51.1	2.9	52.9	7.7	0	69.9	0	0	0
390	Instituto Tecnológico de Buenos Aires (ITBA)		33.5	21.8	42.8	98.1	7.9	2.3	1.4	0	0	0	0	0
391	La Trobe University		33.5	33.3	38.1	24.9	80.9	77.2	17	58.6	0	54.5	0	61.3
392	Université Paul Sabatier Toulouse III		33.5	43.7	0	43.7	15.7	33	23.7	0	61.2	61.5	67.7	0
393	University of Tennessee		33.5	18	29.7	52	13.8	11.1	57.8	40.3	59.4	53.9	65	0
394	Colorado State University		33.4	26.1	43.9	15.4	23.8	10.5	68.5	38.7	60	60.7	66.9	0
395	Karl-Franzens-Universität Graz		33.4	40.7	30.3	19.4	61.4	30.3	27.3	0	0	53.7	58.3	0
396	Universität Düsseldorf		33.4	22.6	18	48.4	5.9	38.7	52.5	43.6	0	67.1	0	0
397	Northeastern University		33.3	21.5	56.3	34.9	12.5	80.3	36.5	39.5	61.7	52.4	60	0
398	University of Naples - Federico Ii		33.3	42.7	26.3	8.6	1.8	2.1	57.7	55.4	61.8	62.4	65.3	54.2
399	Aston University		33.2	21.5	46.7	26.4	93.8	93.1	25.8	0	0	0	0	57.8
400	University of Turin		33.2	41	27.4	11.8	4.8	17.1	52.6	59.7	0	65.4	67.4	57.3
401	Beihang University (former BUAA)		32.6	0	40.7	83	2.1	6.1	10.9	0	63.7	0	0	0
402	Indian Institute of Technology Roorkee (IITR)		33	0	50.7	33.3	0	0	54.5	0	68.5	0	62.2	0
403	National Central University		33.1	0	0	52	24.9	12.5	35	0	63.4	0	62.4	55.6
404	Oregon State University		32.6	0	0	33.1	49.7	30.4	52.2	0	0	62.5	64.2	0
405	Sogang University		32.7	0	49.5	62.6	18.7	26.9	10.7	0	0	0	0	0
406	Universität Regensburg		33	0	0	61.2	34.4	13.7	39.5	0	0	61.5	61	0
407	Université Lille 1. Sciences et Technologie		32.6	0	46.9	34.6	30.9	71.6	21.8	0	63	0	64.5	0
408	University of Tasmania	4	33.1	0	0	39.8	48.1	80.8	28.3	44.5	0	55	59	0
409	University of Waikato		32.7	0	52.5	24.8	96.8	79.1	18.7	45.8	57.5	0	0	61.4
410	Wuhan University		32.6	43.9	45	36.3	0	7	14.3	54.1	60.8	55.8	67.4	60.3
411	York University		32.6	41.2	59	17.5	45	14.7	18	61.7	0	0	60.6	66
412	National Taiwan University of Science And Technology (formerly National Taiwan Institute of Technology)		32.5	0	0	59.5	22.4	23.9	22.4	0	67.3	0	0	53
413	The University of Georgia		32.2	32.5	0	27.3	2.1	9.6	51.4	0	0	64.5	63.7	60.9
414	Universidade Federal de São Paulo (UNIFESP)		32	0	0	65	11.5	2.4	36.8	0	0	58.4	0	0
415	Università  degli Studi di Pavia		32.1	35.3	0	15.8	5.3	14.5	55.5	0	57	61.4	59.2	0
416	Universität Bayreuth		32	0	0	54.7	38.9	20.9	26.9	0	0	0	58.7	0
417	Université Claude Bernard Lyon 1		32.4	42.9	0	23.2	10.4	30.5	42.1	0	0	61.9	57.8	0
418	Université du Québec		32.2	44.6	0	30.5	16.2	28.5	12.3	54.4	59.4	57.3	63.1	62.1
419	Universiti Putra Malaysia (UPM)		32	38.7	0	44	13.1	39.4	6.1	0	60.8	0	58.1	58.4
420	University of Kent		32.1	0	0	32.3	91.4	84.8	14	50.4	0	0	0	56.3
421	University of St Gallen (HSG)		32.3	0	93.5	13.9	100	94.9	15.7	0	0	0	0	69.8
422	Bond University	4	31.8	0	0	64.3	85.7	95.1	7.8	0	0	0	0	0
423	Florida State University		31.5	33.1	0	18.3	21.2	10	49	47.4	61.2	56.3	69.8	60.2
424	United Arab Emirates University		31.7	0	0	35.2	100	86.1	11.4	0	59.7	0	0	57.2
425	Universidad de San AndrÃ©s		31.9	0	46.1	89	12.6	17.4	1.7	0	0	0	0	0
426	Universidad Nacional de La Plata		31.8	52.6	41	27	0	4.4	4.7	0	58.5	0	59.6	0
427	Universität des Saarlandes		31.8	0	0	35.6	44.7	58.1	48.2	0	0	54.2	0	0
428	University of Missouri. Columbia		31.7	0	0	46.6	48.6	13.8	34.9	45.3	0	64.5	0	57.5
429	University of New Mexico		31.8	0	0	56.3	2.7	8.5	42.9	45.1	0	62.4	57.7	0
430	University of Saskatchewan		31.7	0	0	45.9	39.6	46.8	32	0	57.3	56.3	57.7	0
431	American University of Sharjah (AUS)		31.4	0	49.3	30.4	100	100	8	0	0	0	0	55.4
432	Bilkent University		31	0	44.1	36	62.4	5.1	15	0	60.7	0	0	57.4
433	Flinders University		30.8	0	0	54.1	13.9	55.1	23.4	42.6	0	55.1	0	0
434	Hankuk (Korea) University of Foreign Studies 		31.3	0	50.8	74	54.3	36.2	1.9	0	0	0	0	0
435	Middle East Technical University		30.6	39	57	21.6	8	19.9	17.3	47.1	66.9	0	64.3	57.5
436	Philipps-Universität Marburg 		31.1	0	0	45.7	26.9	38.8	31.6	43.7	0	58.5	0	0
437	Swansea University	4	31.1	0	0	38.7	71	64	23.1	40.1	0	0	0	0
438	Tampere University of Technology 		30.7	0	0	74.1	0	37.4	14.6	0	65.4	0	0	0
439	Universität Bielefeld		31.4	39.8	0	24.5	28.9	20	31.7	51.3	0	0	0	60.9
440	University of Manitoba		31.1	0	0	45.2	0	61.3	37.3	41.2	0	59.8	0	0
441	Chiba University		30.5	0	0	56.2	6.5	16.2	39.3	0	0	54.8	0	0
442	Illinois Institute of Technology		30.3	0	0	30.5	22	99.9	34.7	0	59.3	0	0	0
443	Moscow Institute of Physics and Technology State University		30.3	0	0	99.6	11.2	35.9	2.7	0	0	0	0	0
444	Tallinn University of Technology		30.3	0	46.3	72.3	49.5	26.8	6.7	0	0	0	0	0
445	Taras Shevchenko National University of Kyiv		30.5	0	0	94.1	2.5	6.5	2.2	0	0	0	0	0
446	Tokyo University of Science		30.5	0	0	5.5	0	3	77.3	0	59.9	0	65.3	0
447	University of Salamanca		30.4	36.2	42	37.8	3.4	13.2	16.2	58.5	0	57	0	55.7
448	University of Trento		30.4	34.2	0	10.3	29.5	23.5	47.5	49	59.5	0	59.1	58.8
449	Université de Sherbrooke		30.4	0	0	66.8	0	71.5	16.6	0	0	0	0	0
450	Université Panthéon-Assas (Paris 2)		30.3	0	46.4	74.5	0	78.8	1.1	0	0	0	0	0
451	University of Delhi		30.3	51.4	75.1	5.2	0	2.3	4.8	0	57.3	51.9	63	62
452	Abo Akademi University		30.1	0	0	54.2	33.3	30.6	24.2	45.1	58.8	0	0	54.6
453	Czech Technical University In Prague		30.1	0	54.1	42.6	10.9	33.2	7.7	0	65	0	0	0
454	Leibniz Universität Hannover		29.9	0	39.3	6.3	17.8	40.3	52.9	0	60.7	0	63.4	0
455	Pusan National University		30.2	0	0	47.5	12.4	11.5	18.5	0	57.8	52.8	58.8	0
456	Shanghai University		30	41.3	41.5	30.7	6.9	3.6	12.7	49.6	59.8	0	66.8	55.6
457	St. Petersburg State Politechnical University		30	0	0	92.9	1.3	20.2	2.1	0	0	0	0	0
458	Università  Cattolica del Sacro Cuore	3	30.1	0	51.1	29.8	32.4	16.6	23.4	54.4	0	61.7	0	60
459	University of Genoa		30.2	0	0	8	3	20.1	62	50.5	60.6	62.4	62.6	0
460	University of Delaware		29.9	0	0	22.5	41.6	37.5	59.8	39.9	57.6	0	59.5	0
461	Bandung Institute of Technology (ITB)	4	29.2	44.8	59.4	22.9	0	2.7	2.4	0	58.6	0	0	0
462	Bogazici University		29.5	0	51.5	26.4	28.9	23.4	19.1	0	61	0	0	55.4
463	Goldsmiths. University of London		29.8	34	0	18.9	86.9	95	6.7	0	0	0	0	0
464	National Sun Yat-sen University		29.5	0	0	25	12.3	8.2	45.6	0	58.1	0	61.1	54.4
465	Renmin (People’s) University of China		29.6	0	55.7	48.1	8.7	16.7	3.8	0	0	0	0	64.2
466	Universidad de Costa Rica		29.7	38.8	0	48.4	0	1.8	2.8	0	0	0	0	0
467	Universidad de Santiago de Chile - USACH		29.3	47.2	51.3	16	11.9	1.3	6.5	0	0	0	0	0
468	University of Cincinnati		29.4	0	0	47.4	21	17.6	51.9	0	0	62.4	0	0
469	University of Guelph		29.2	0	39.6	19.4	54.2	18.4	43.1	41.4	0	62.1	0	0
470	University of Tartu		29.6	0	0	48.8	22.1	8.2	20.2	50.3	0	0	0	53.6
471	American University		29	0	45.4	47.4	14.9	41.4	6.2	0	0	0	0	60.9
472	Aristotle University of Thessaloniki		28.9	39.5	46.1	7.9	2.1	14.2	30.1	55.7	66.1	57.7	63.7	57.2
473	Auckland University of Technology 		28.9	0	52	34.4	87.5	56.5	7.3	0	0	0	0	0
474	Bangor University		29.1	0	0	34.3	72.1	75.6	30.8	0	0	0	0	0
475	Charles Darwin University 		29	0	0	24.4	67.8	68.8	52	0	0	0	0	0
476	Kansas State University 		29	0	0	6.7	21.1	24.8	82.7	0	0	52	0	0
477	Kingston University. London		29.1	0	54.7	16.2	58.8	96.9	5.7	0	0	0	0	53.7
478	Universitat de Valencia		29	40.4	0	22.5	2.4	14.7	26.6	50.7	56.8	63.7	66.2	57.9
479	Université Montpellier 1		28.9	0	0	20.4	21.5	49.1	23.2	0	0	64.6	0	0
480	University of Pretoria		28.9	40.3	47.2	19	12.8	24.6	11.4	47.7	0	0	0	58.6
481	Concordia University		28.7	0	43	15.5	62.1	85.3	17.4	54.7	58.2	0	0	56.6
482	Drexel University		28.6	0	40.5	44.7	35.8	47.6	37.8	0	59.2	54.9	0	0
483	Lincoln University 		28.8	0	0	83.4	0	0	23.1	0	0	0	0	0
484	National Taiwan Normal University		28.7	33.5	0	43.7	18.1	19.4	10	0	0	0	0	0
485	National University of Sciences And Technology (NUST) Islamabad		28.7	0	43.9	79	5.2	4.8	2.7	0	0	0	0	0
486	Swinburne University of Technology	4	28.7	0	48.9	14.8	73.2	99.3	25.3	44.3	59.5	0	0	0
487	Tongji University		28.8	33.3	49.6	38.4	3.4	9.1	10.5	51.4	65.3	0	60	55
488	Universidad de Zaragoza		28.6	0	0	52.9	7	6.5	16	0	60	0	62.2	0
489	Universidade Federal de Minas Gerais   	4	28.6	37.8	0	33.3	15	3.1	17.7	45	61.9	53.6	59.2	55
490	Universität Duisburg-Essen		28.8	0	0	27.8	29.4	55.2	41	0	0	61.5	59.2	0
491	University of Kentucky		28.7	0	0	35.2	7.4	12.4	58.8	0	0	61.5	0	0
492	University of Oklahoma		28.8	0	0	51.4	29.3	16.2	35.3	45.2	0	57.7	57.8	0
493	Al-Imam Mohamed Ibn Saud Islamic University		28.4	0	0	76.6	99.3	48.7	1	0	0	0	0	0
494	Harbin Institute of Technology		28.5	0	43.1	41.3	0	6.6	30.3	42.6	70.5	0	59	0
495	People's Friendship University of Russia		28.4	0	0	84.5	1.7	93.7	1.2	0	0	0	0	0
496	"Universidade Estadual Paulista ""Júlio de Mesquita Filho"" (UNESP)"		28.4	0	0	44.7	5.8	3.3	13.9	0	0	0	57.7	0
497	Université Nice Sophia-Antipolis		28.5	0	0	28.4	21.9	64.9	29.5	0	0	0	60.2	0
498	University of Crete		28.4	0	0	15.3	4.9	18.2	58.4	0	0	55.2	60.3	0
499	University of Milano-Bicocca 		28.4	0	0	7.3	0	13.1	64.6	41.2	0	58.7	62	55.5
500	University of Nebraska - Lincoln		28.4	0	0	35.5	46.2	27.7	36.3	38.1	0	57.3	58.9	54
501	Ateneo de Manila University		0	34.2	61.1	0	0	0	0	0	0	0	0	0
502	Beijing Institute of Technology		0	0	53.8	41.7	0	0	0	0	64	0	64.7	0
503	Carleton University		0	0	0	0	34	57.9	30.8	50	56.7	0	0	54.9
504	Chang Gung University		0	0	0	58.1	0	0	58.9	0	0	58.8	0	0
505	Chung-Ang University 		0	0	0	64.5	0	35.3	0	0	0	0	0	0
